name,n,m,d,c,t,s,x
../network-corpus/networks/residence_hall.txt.gz,218,1839,11,18,18.6,d,x
../network-corpus/networks/rhesusbrain.txt.gz,242,3054,19,38,23.4,d,x
../network-corpus/networks/roget-thesaurus.txt.gz,1010,3648,6,8,21.2,d,x
../network-corpus/networks/seventh-graders.txt.gz,29,376,20,18,3.6,c,x
../network-corpus/networks/slashdot_threads.txt.gz,51084,117378,15,65,212.4,d,x
../network-corpus/networks/soc-advogato.txt.gz,5167,39432,25,218,51.7,d,x
../network-corpus/networks/soc-Epinions1.txt.gz,75879,405740,67,551,1301.5,d,x
../network-corpus/networks/soc-gplus.txt.gz,23628,39194,12,490,97.6,d,x
../network-corpus/networks/soc-hamsterster.txt.gz,2426,16630,24,77,39.8,d,x
../network-corpus/networks/soc-Slashdot0811.txt.gz,77360,469180,54,618,832.4,d,x
../network-corpus/networks/soc-wiki-Vote.txt.gz,890,2914,9,18,15.2,d,x
../network-corpus/networks/sp_data_school_day_2.txt.gz,238,5539,33,54,36.2,d,x
../network-corpus/networks/StackOverflow-tags.txt.gz,115,245,6,7,0.6,d,x
../network-corpus/networks/teams.txt.gz,935591,1366466,9,351,6893.1,d,x
../network-corpus/networks/train_bombing.txt.gz,64,243,10,9,1.4,c,x
../network-corpus/networks/tv_tropes.txt.gz,152093,3232134,115,2655,25491.8,d,x
../network-corpus/networks/twittercrawl.txt.gz,3656,154824,142,507,641.6,d,x
../network-corpus/networks/ukroad.txt.gz,12378,15641,3,5,11.2,d,x
../network-corpus/networks/unicode_languages.txt.gz,868,1255,4,19,3.7,d,x
../network-corpus/networks/wafa-ceos.txt.gz,26,93,5,7,0.3,d,x
../network-corpus/networks/wafa-eies.txt.gz,45,652,24,31,8.8,d,x
../network-corpus/networks/wafa-hightech.txt.gz,22,159,12,17,0.7,d,x
../network-corpus/networks/wafa-padgett.txt.gz,15,27,3,4,0.2,d,x
../network-corpus/networks/web-california.txt.gz,6175,15969,11,69,23.5,d,x
../network-corpus/networks/web-EPA.txt.gz,4271,8909,6,64,16.0,d,x
../network-corpus/networks/web-google.txt.gz,1299,2773,17,18,17.4,d,x
../network-corpus/networks/wikipedia-norm.txt.gz,1881,15372,22,138,47.6,d,x
../network-corpus/networks/wiki-vote.txt.gz,7115,100762,53,441,126.1,d,x
../network-corpus/networks/win95pts.txt.gz,99,112,2,4,0.3,d,x
../network-corpus/networks/windsurfers.txt.gz,43,336,11,17,3.8,d,x
../network-corpus/networks/word_adjacencies.txt.gz,112,425,6,14,1.0,d,x
../network-corpus/networks/Y2H_union.txt.gz,1966,2705,4,30,7.0,d,x
../network-corpus/networks/Yeast.txt.gz,2362,7182,10,22,27.3,d,x
../network-corpus/networks/zewail.txt.gz,6651,54182,18,99,48.7,d,x
